longitude,latitude,altitude
8.25,49.75,160.78793
8.25,49.5,185.87256
8.25,49.25,185.71959
8.25,49.0,159.25845
8.25,48.75,384.52234
8.25,48.5,493.46426
8.25,48.25,613.7248
8.25,48.0,785.18695
8.25,47.75,634.0295
8.25,47.5,555.4491
8.25,47.25,600.9531
8.25,47.0,898.64105
8.25,46.75,1746.1624
8.25,46.5,2369.8347
8.25,46.25,1736.2969
8.25,46.0,1320.5281
8.25,45.75,791.91693
8.25,45.5,344.21878
8.25,45.25,196.27345
8.5,49.75,149.08699
8.5,49.5,158.0348
8.5,49.25,154.28745
8.5,49.0,230.8029
8.5,48.75,500.42368
8.5,48.5,612.50116
8.5,48.25,714.8278
8.5,48.0,769.4709
8.5,47.75,618.3134
8.5,47.5,535.3738
8.5,47.25,580.6866
8.5,47.0,1020.6223
8.5,46.75,1831.8934
8.5,46.5,2223.5337
8.5,46.25,1447.4421
8.5,46.0,849.8867
8.5,45.75,436.33572
8.5,45.5,311.48645
8.5,45.25,165.0325
8.75,49.75,213.55736
8.75,49.5,235.8504
8.75,49.25,186.7903
8.75,49.0,267.66504
8.75,48.75,486.65778
8.75,48.5,555.6785
8.75,48.25,677.201
8.75,48.0,683.1279
8.75,47.75,553.8813
8.75,47.5,561.7585
8.75,47.25,788.093
8.75,47.0,1301.5999
8.75,46.75,1924.89
8.75,46.5,2075.665
8.75,46.25,1272.2709
8.75,46.0,661.75256
8.75,45.75,325.29065
8.75,45.5,199.94434
8.75,45.25,110.16002
9.0,49.75,282.53986
9.0,49.5,304.9095
9.0,49.25,236.7299
9.0,49.0,287.09024
9.0,48.75,418.44
9.0,48.5,530.17334
9.0,48.25,686.7989
9.0,48.0,683.1662
9.0,47.75,544.7423
9.0,47.5,552.6959
9.0,47.25,904.9121
9.0,47.0,1408.821
9.0,46.75,1834.7614
9.0,46.5,1933.073
9.0,46.25,1217.2837
9.0,46.0,726.75824
9.0,45.75,377.3335
9.0,45.5,190.76709
9.0,45.25,100.14151
9.25,49.75,332.97656
9.25,49.5,362.2292
9.25,49.25,294.47034
9.25,49.0,295.4262
9.25,48.75,371.55945
9.25,48.5,533.61487
9.25,48.25,707.75366
9.25,48.0,668.36786
9.25,47.75,531.2441
9.25,47.5,632.4235
9.25,47.25,988.3489
9.25,47.0,1402.2822
9.25,46.75,1782.4509
9.25,46.5,1978.0034
9.25,46.25,1348.9011
9.25,46.0,898.64105
9.25,45.75,463.7146
9.25,45.5,132.22372
9.25,45.25,56.97007
9.5,49.75,320.6638
9.5,49.5,340.16547
9.5,49.25,326.7055
9.5,49.0,351.79004
9.5,48.75,448.5338
9.5,48.5,605.96234
9.5,48.25,669.13257
9.5,48.0,625.5406
9.5,47.75,506.23596
9.5,47.5,612.15704
9.5,47.25,958.0639
9.5,47.0,1381.2892
9.5,46.75,1835.1056
9.5,46.5,2096.7727
9.5,46.25,1513.8627
9.5,46.0,1073.3152
9.5,45.75,512.58356
9.5,45.5,181.32217
9.5,45.25,64.12063
9.75,49.75,305.2154
9.75,49.5,324.6406
9.75,49.25,388.2315
9.75,49.0,422.03445
9.75,48.75,506.73306
9.75,48.5,619.5371
9.75,48.25,609.90094
9.75,48.0,578.5835
9.75,47.75,623.3992
9.75,47.5,729.93207
9.75,47.25,1146.7716
9.75,47.0,1571.0676
9.75,46.75,1999.2642
9.75,46.5,2277.6416
9.75,46.25,1701.0026
9.75,46.0,1272.4622
9.75,45.75,644.7364
9.75,45.5,186.63734
9.75,45.25,55.70817
10.0,49.75,294.0497
10.0,49.5,356.37866
10.0,49.25,442.53033
10.0,49.0,486.65778
10.0,48.75,547.72485
10.0,48.5,573.7272
10.0,48.25,550.93695
10.0,48.0,616.13385
10.0,47.75,718.11633
10.0,47.5,1024.8285
10.0,47.25,1470.7677
10.0,47.0,1860.7638
10.0,46.75,2180.3242
10.0,46.5,2262.537
10.0,46.25,1788.722
10.0,46.0,1382.36
10.0,45.75,727.4466
10.0,45.5,211.22475
10.0,45.25,65.19133
10.25,49.75,305.82724
10.25,49.5,368.80624
10.25,49.25,449.52805
10.25,49.0,490.40518
10.25,48.75,523.4051
10.25,48.5,512.43066
10.25,48.25,534.5708
10.25,48.0,658.88464
10.25,47.75,795.8938
10.25,47.5,1181.8746
10.25,47.25,1632.2495
10.25,47.0,1977.774
10.25,46.75,2250.148
10.25,46.5,2317.2568
10.25,46.25,1943.0532
10.25,46.0,1510.5359
10.25,45.75,789.7373
10.25,45.5,273.82138
10.25,45.25,49.09286
10.5,49.75,316.41934
10.5,49.5,379.43658
10.5,49.25,451.40173
10.5,49.0,490.29047
10.5,48.75,499.3912
10.5,48.5,475.95093
10.5,48.25,540.6125
10.5,48.0,669.78265
10.5,47.75,867.7825
10.5,47.5,1254.0693
10.5,47.25,1756.487
10.5,47.0,2102.5085
10.5,46.75,2336.032
10.5,46.5,2416.2183
10.5,46.25,2139.6
10.5,46.0,1592.3285
10.5,45.75,861.4348
10.5,45.5,292.29068
10.5,45.25,58.07891
10.75,49.75,322.57565
10.75,49.5,363.37637
10.75,49.25,419.243
10.75,49.0,476.25687
10.75,48.75,472.89185
10.75,48.5,471.47705
10.75,48.25,549.4456
10.75,48.0,657.2404
10.75,47.75,841.81836
10.75,47.5,1183.5189
10.75,47.25,1695.7257
10.75,47.0,2195.0078
10.75,46.75,2425.7017
10.75,46.5,2084.8804
10.75,46.25,1758.8959
10.75,46.0,1356.4342
10.75,45.75,773.5242
10.75,45.5,319.28717
10.75,45.25,72.992065
11.0,49.75,362.95572
11.0,49.5,374.88617
11.0,49.25,430.14105
11.0,49.0,468.91504
11.0,48.75,448.76324
11.0,48.5,472.5477
11.0,48.25,537.5534
11.0,48.0,630.5498
11.0,47.75,816.7338
11.0,47.5,1157.0579
11.0,47.25,1669.5322
11.0,47.0,2097.4229
11.0,46.75,2119.0276
11.0,46.5,1656.6077
11.0,46.25,1414.5187
11.0,46.0,1095.7994
11.0,45.75,781.0571
11.0,45.5,326.82022
11.0,45.25,61.482216
11.25,49.75,408.6509
11.25,49.5,419.39597
11.25,49.25,452.20474
11.25,49.0,475.30087
11.25,48.75,424.44348
11.25,48.5,468.8768
11.25,48.25,515.7191
11.25,48.0,606.6507
11.25,47.75,811.2657
11.25,47.5,1151.5132
11.25,47.25,1662.1521
11.25,47.0,2099.2964
11.25,46.75,1774.4974
11.25,46.5,1109.2213
11.25,46.25,1085.3221
11.25,46.0,1015.84247
11.25,45.75,738.1534
11.25,45.5,329.1145
11.25,45.25,65.22957
11.5,49.75,450.75165
11.5,49.5,457.74936
11.5,49.25,469.52682
11.5,49.0,478.81885
11.5,48.75,410.2187
11.5,48.5,466.9266
11.5,48.25,501.03552
11.5,48.0,608.7156
11.5,47.75,848.43365
11.5,47.5,1189.9048
11.5,47.25,1626.399
11.5,47.0,1969.7439
11.5,46.75,1572.0619
11.5,46.5,1367.2174
11.5,46.25,1460.9404
11.5,46.0,1038.3651
11.5,45.75,617.39575
11.5,45.5,218.7578
11.5,45.25,-7.309194
11.75,49.75,496.37036
11.75,49.5,460.0819
11.75,49.25,471.01816
11.75,49.0,476.7922
11.75,48.75,401.99738
11.75,48.5,475.87445
11.75,48.25,497.9764
11.75,48.0,592.0817
11.75,47.75,831.7616
11.75,47.5,1199.0056
11.75,47.25,1635.5764
11.75,47.0,1940.6825
11.75,46.75,1655.5752
11.75,46.5,1596.9934
11.75,46.25,1613.2832
11.75,46.0,1048.4601
11.75,45.75,406.08893
11.75,45.5,6.4950147
11.75,45.25,2.403503
12.0,49.75,512.0482
12.0,49.5,453.9637
12.0,49.25,427.80847
12.0,49.0,439.16537
12.0,48.75,394.65555
12.0,48.5,489.0668
12.0,48.25,478.13052
12.0,48.0,565.047
12.0,47.75,813.67474
12.0,47.5,1184.475
12.0,47.25,1653.0514
12.0,47.0,1971.3882
12.0,46.75,1790.94
12.0,46.5,1818.816
12.0,46.25,1561.6228
12.0,46.0,702.1708
12.0,45.75,146.83087
12.0,45.5,-3.217583
12.0,45.25,13.989829
12.25,49.75,555.0285
12.25,49.5,497.13513
12.25,49.25,430.63815
12.25,49.0,433.9267
12.25,48.75,384.56058
12.25,48.5,497.82346
12.25,48.25,449.06918
12.25,48.0,537.78284
12.25,47.75,811.68634
12.25,47.5,1186.4633
12.25,47.25,1739.203
12.25,47.0,2106.753
12.25,46.75,1798.473
12.25,46.5,1651.866
12.25,46.25,1244.8921
12.25,46.0,505.73886
12.25,45.75,71.921364
12.25,45.5,6.2655783
12.25,45.25,13.760393
12.5,49.75,595.1408
12.5,49.5,542.3332
12.5,49.25,465.74124
12.5,49.0,448.30438
12.5,48.75,371.98007
12.5,48.5,484.17224
12.5,48.25,427.19666
12.5,48.0,534.4943
12.5,47.75,808.35956
12.5,47.5,1179.5421
12.5,47.25,1732.2054
12.5,47.0,2113.3298
12.5,46.75,1769.5262
12.5,46.5,1463.0052
12.5,46.25,975.539
12.5,46.0,294.66153
12.5,45.75,84.15775
12.5,45.5,18.540213
12.5,45.25,4.8507223
12.75,49.75,550.97516
12.75,49.5,543.2892
12.75,49.25,507.15366
12.75,49.0,536.1768
12.75,48.75,357.5641
12.75,48.5,432.9707
12.75,48.25,415.6868
12.75,48.0,553.1165
12.75,47.75,838.49164
12.75,47.5,1184.2837
12.75,47.25,1685.5924
12.75,47.0,2054.022
12.75,46.75,1663.567
12.75,46.5,1272.9209
12.75,46.25,773.18
12.75,46.0,212.02777
12.75,45.75,49.81941
12.75,45.5,3.3594868
12.75,45.25,-6.200253
13.0,49.75,496.4086
13.0,49.5,488.45496
13.0,49.25,607.033
13.0,49.0,640.30066
13.0,48.75,410.7158
13.0,48.5,416.79575
13.0,48.25,430.294
13.0,48.0,565.3529
13.0,47.75,834.47656
13.0,47.5,1180.2687
13.0,47.25,1561.9669
13.0,47.0,1898.3523
13.0,46.75,1502.0852
13.0,46.5,1115.569
13.0,46.25,607.95074
13.0,46.0,100.82972
13.0,45.75,-14.383276
13.0,45.5,11.045399
13.0,45.25,1.8299125
13.25,49.75,453.2754
13.25,49.5,466.88837
13.25,49.25,649.7839
13.25,49.0,772.64465
13.25,48.75,486.84897
13.25,48.5,404.52112
13.25,48.25,442.83624
13.25,48.0,581.069
13.25,47.75,846.40704
13.25,47.5,1175.7565
13.25,47.25,1556.8429
13.25,47.0,1738.553
13.25,46.75,1374.6357
13.25,46.5,1064.2526
13.25,46.25,607.14777
13.25,46.0,113.98386
13.25,45.75,-18.28359
13.25,45.5,7.145084
13.25,45.25,10.204133
13.5,49.75,449.56628
13.5,49.5,468.80032
13.5,49.25,647.3748
13.5,49.0,832.0675
13.5,48.75,637.0886
13.5,48.5,457.7876
13.5,48.25,452.3577
13.5,48.0,604.85345
13.5,47.75,898.67926
13.5,47.5,1261.5641
13.5,47.25,1610.7977
13.5,47.0,1628.5021
13.5,46.75,1289.4783
13.5,46.5,1105.8562
13.5,46.25,758.38165
13.5,46.0,285.06357
13.5,45.75,67.944565
13.5,45.5,14.869235
13.5,45.25,20.107927
13.75,49.75,493.80838
13.75,49.5,520.53723
13.75,49.25,628.179
13.75,49.0,821.05475
13.75,48.75,727.90546
13.75,48.5,524.6287
13.75,48.25,420.5049
13.75,48.0,579.9219
13.75,47.75,984.6398
13.75,47.5,1347.907
13.75,47.25,1472.259
13.75,47.0,1487.6692
13.75,46.75,1185.0103
13.75,46.5,1084.2513
13.75,46.25,871.26215
13.75,46.0,538.1652
13.75,45.75,302.6151
13.75,45.5,200.93857
13.75,45.25,189.54343
14.0,49.75,468.91504
14.0,49.5,502.2209
14.0,49.25,509.48627
14.0,49.0,683.93097
14.0,48.75,779.52765
14.0,48.5,581.2984
14.0,48.25,398.47946
14.0,48.0,581.03076
14.0,47.75,1017.48676
14.0,47.5,1417.2336
14.0,47.25,1534.8557
14.0,47.0,1329.2083
14.0,46.75,1023.8344
14.0,46.5,1008.23303
14.0,46.25,869.5414
14.0,46.0,597.7793
14.0,45.75,531.9706
14.0,45.5,431.2882
14.0,45.25,211.33946
14.25,49.75,427.19666
14.25,49.5,462.10855
14.25,49.25,465.28235
14.25,49.0,555.18146
14.25,48.75,714.2925
14.25,48.5,635.02374
14.25,48.25,398.13528
14.25,48.0,526.6554
14.25,47.75,959.3257
14.25,47.5,1344.5802
14.25,47.25,1459.4109
14.25,47.0,1213.8422
14.25,46.75,897.79974
14.25,46.5,858.41394
14.25,46.25,734.8266
14.25,46.0,611.46875
14.25,45.75,672.34467
14.25,45.5,609.13617
14.25,45.25,324.60236
14.5,49.75,418.36353
14.5,49.5,478.93356
14.5,49.25,488.99033
14.5,49.0,474.1155
14.5,48.75,661.026
14.5,48.5,669.2473
14.5,48.25,404.29172
14.5,48.0,528.9497
14.5,47.75,895.6201
14.5,47.5,1280.5686
14.5,47.25,1353.2604
14.5,47.0,1107.0034
14.5,46.75,833.5206
14.5,46.5,832.4117
14.5,46.25,658.80817
14.5,46.0,539.9242
14.5,45.75,676.8186
14.5,45.5,712.18933
14.5,45.25,422.45508
14.75,49.75,433.00894
14.75,49.5,493.65543
14.75,49.25,499.12354
14.75,49.0,475.07144
14.75,48.75,635.06195
14.75,48.5,745.3805
14.75,48.25,457.71112
14.75,48.0,556.7875
14.75,47.75,874.09174
14.75,47.5,1159.505
